date,price,symbol
2020-08-04,11.21,MBBOND
2020-08-05,11.25,MBBOND
2020-08-06,11.25,MBBOND
2020-08-07,11.25,MBBOND
2020-08-08,11.25,MBBOND
2020-08-09,11.25,MBBOND
2020-08-10,11.4,MBBOND
2020-08-11,11.38,MBBOND
2020-08-12,11.42,MBBOND
2020-08-13,11.45,MBBOND
2020-08-14,11.42,MBBOND
2020-08-17,11.39,MBBOND
2020-08-18,11.44,MBBOND
2020-08-19,11.49,MBBOND
2020-08-20,11.47,MBBOND
2020-08-21,11.46,MBBOND
2020-08-24,11.48,MBBOND
2020-08-25,11.44,MBBOND
2020-08-26,11.45,MBBOND
2020-08-30,11.46,MBBOND
2020-08-31,11.46,MBBOND
2020-09-02,11.46,MBBOND
2020-09-03,11.46,MBBOND
2020-09-06,11.47,MBBOND
2020-09-07,11.47,MBBOND
2020-09-08,11.47,MBBOND
2020-09-09,11.47,MBBOND
2020-09-10,11.47,MBBOND
2020-09-13,11.47,MBBOND
2020-09-14,11.47,MBBOND
2020-09-15,11.47,MBBOND
2020-09-16,11.47,MBBOND
2020-09-17,11.48,MBBOND
2020-09-20,11.48,MBBOND
2020-09-21,11.48,MBBOND
2020-09-22,11.48,MBBOND
2020-09-23,11.48,MBBOND
2020-09-24,11.48,MBBOND
2020-09-27,11.56,MBBOND
2020-09-28,11.56,MBBOND
2020-09-29,11.57,MBBOND
2020-09-30,11.57,MBBOND
2020-10-01,11.57,MBBOND
2020-10-04,11.57,MBBOND
2020-10-05,11.56,MBBOND
2020-10-06,11.56,MBBOND
2020-10-07,11.56,MBBOND
2020-10-08,11.57,MBBOND
2020-10-09,11.54,MBBOND
2020-10-12,11.54,MBBOND
2020-10-13,11.54,MBBOND
2020-10-14,11.57,MBBOND
2020-10-15,11.57,MBBOND
2020-10-18,11.58,MBBOND
2020-10-19,11.6,MBBOND
2020-10-20,11.6,MBBOND
2020-10-21,11.58,MBBOND
2020-10-22,11.55,MBBOND
2020-10-25,11.6,MBBOND
2020-10-26,11.6,MBBOND
2020-10-27,11.64,MBBOND
2020-10-28,11.64,MBBOND
2020-10-29,11.64,MBBOND
2020-10-31,11.74,MBBOND
2020-11-01,11.74,MBBOND
2020-11-02,11.74,MBBOND
2020-11-03,11.74,MBBOND
2020-11-04,11.74,MBBOND
2020-11-05,11.74,MBBOND
2020-11-08,11.75,MBBOND
2020-11-09,11.75,MBBOND
2020-11-10,11.75,MBBOND
2020-11-11,11.75,MBBOND
2020-11-12,11.68,MBBOND
2020-11-15,11.74,MBBOND
2020-11-16,11.74,MBBOND
