date,price,symbol
2020-01-02,20.22,ENF
2020-01-09,20.14,ENF
2020-01-16,20.58,ENF
2020-01-30,20.25,ENF
2020-02-06,20.3,ENF
2020-02-13,20.36,ENF
2020-02-20,20.47,ENF
2020-02-27,20.16,ENF
2020-03-05,20.08,ENF
2020-03-12,18.49,ENF
2020-03-19,18.1,ENF
2020-03-26,17.67,ENF
2020-03-31,17.21,ENF
2020-04-02,17.48,ENF
2020-04-09,18.14,ENF
2020-04-16,18.4,ENF
2020-04-23,18.43,ENF
2020-04-30,18.63,ENF
2020-05-07,18.78,ENF
2020-05-14,19.15,ENF
2020-05-21,19.29,ENF
2020-05-28,19.3,ENF
2020-05-31,19.29,ENF
2020-06-04,19.57,ENF
2020-06-11,19.5,ENF
2020-06-18,19.4,ENF
2020-06-25,19.38,ENF
2020-06-30,19.08,ENF
2020-07-02,19.16,ENF
2020-07-09,19.54,ENF
2020-07-16,19.61,ENF
2020-07-23,19.53,ENF
2020-07-30,19.04,ENF
2020-07-31,18.94,ENF
2020-08-06,19.48,ENF
2020-08-13,19.86,ENF
2020-08-20,19.93,ENF
2020-08-27,20.35,ENF
2020-08-31,20.38,ENF
2020-09-03,20.49,ENF
2020-09-10,20.31,ENF
2020-09-17,20.39,ENF
2020-09-24,20.71,ENF
2020-09-30,20.77,ENF
2020-10-01,20.84,ENF
2020-10-08,20.92,ENF
2020-10-15,21.02,ENF
2020-10-22,21.35,ENF
2020-10-29,20.87,ENF
2020-10-31,20.94,ENF
2020-11-05,21.12,ENF
2020-11-12,21.43,ENF
2020-11-19,21.87,ENF
2020-11-26,22.1,ENF
2020-11-30,22.2,ENF
2020-12-03,22.46,ENF
2020-12-10,22.53,ENF
2020-12-17,22.76,ENF
2020-12-24,23.0,ENF
2020-12-31,23.42,ENF
2021-01-07,24.36,ENF
2021-01-14,24.97,ENF
2021-01-21,24.77,ENF
2021-01-28,23.2,ENF
2021-01-31,23.79,ENF
2021-02-04,24.51,ENF
2021-02-18,25.34,ENF
2021-02-25,25.42,ENF
2021-02-28,25.49,ENF
2021-03-04,25.47,ENF
2021-03-11,25.67,ENF
2021-03-18,26.11,ENF
2021-03-25,25.37,ENF
2021-04-01,26.11,ENF
2021-04-08,26.4,ENF
2021-04-15,26.44,ENF
2021-04-22,26.09,ENF
2021-04-30,26.48,ENF
2021-05-06,26.88,ENF
2021-05-13,27.28,ENF
2021-05-20,28.33,ENF
2021-05-27,28.55,ENF
2021-05-31,29.27,ENF
2021-06-03,30.02,ENF
2021-06-10,29.16,ENF
2021-06-17,29.63,ENF
2021-06-24,30.02,ENF
2021-06-30,30.67,ENF
2021-07-01,30.88,ENF
2021-07-08,30.53,ENF
2021-07-15,29.49,ENF
2021-07-22,29.71,ENF
2021-07-29,29.98,ENF
2021-07-31,30.3,ENF
2021-08-05,30.82,ENF
2021-08-12,30.82,ENF
2021-08-19,31.15,ENF
2021-08-26,30.24,ENF
2021-08-31,30.48,ENF
2021-09-09,30.77,ENF
2021-09-16,30.68,ENF
2021-09-23,30.72,ENF
2021-09-30,30.68,ENF
2021-10-07,30.87,ENF
2021-10-14,31.42,ENF
2021-10-21,31.38,ENF
2021-10-28,31.84,ENF
2021-10-31,31.86,ENF
2021-11-04,31.82,ENF
2021-11-11,31.89,ENF
2021-11-18,31.78,ENF
2021-11-25,32.37,ENF
2021-11-30,32.0,ENF
2021-12-02,31.99,ENF
2021-12-09,31.68,ENF
2021-12-16,31.74,ENF
2021-12-23,31.41,ENF
2021-12-30,31.7,ENF
2021-12-31,31.81,ENF
2022-01-06,31.9,ENF
2022-01-13,31.39,ENF
2022-01-20,30.95,ENF
2022-01-27,31.09,ENF
2022-01-31,31.28,ENF
2022-02-10,32.02,ENF
2022-02-17,32.08,ENF
2022-02-24,32.21,ENF
2022-02-28,32.31,ENF
2022-03-03,32.5,ENF
2022-03-10,32.32,ENF
2022-03-17,31.97,ENF
2022-03-24,32.39,ENF
2022-03-31,32.88,ENF
2022-04-07,33.19,ENF
2022-04-14,32.9,ENF
2022-04-21,31.66,ENF
2022-04-28,31.03,ENF
2022-04-30,31.22,ENF
2022-05-05,31.1,ENF
2022-05-12,29.19,ENF
2022-05-19,29.1,ENF
2022-05-26,29.72,ENF
2022-05-31,30.15,ENF
2022-06-02,30.09,ENF
2022-06-09,30.81,ENF
2022-06-16,29.86,ENF
2022-06-23,29.18,ENF
2022-06-30,29.31,ENF
