date,price,symbol
2021-08-25,9.99,ASBF
2021-08-26,9.99,ASBF
2021-08-27,9.99,ASBF
2021-08-30,9.99,ASBF
2021-08-31,9.99,ASBF
2021-09-01,9.99,ASBF
2021-09-03,9.99,ASBF
2021-09-06,9.99,ASBF
2021-09-07,9.99,ASBF
2021-09-08,9.99,ASBF
2021-09-09,10.0,ASBF
2021-09-10,10.0,ASBF
2021-09-13,10.0,ASBF
2021-09-14,10.0,ASBF
2021-09-15,10.0,ASBF
2021-09-16,10.0,ASBF
2021-09-17,10.0,ASBF
2021-09-20,10.01,ASBF
2021-09-21,10.01,ASBF
2021-09-22,10.01,ASBF
2021-09-23,10.01,ASBF
2021-09-24,10.01,ASBF
2021-09-27,10.02,ASBF
2021-09-28,10.02,ASBF
2021-09-29,10.02,ASBF
2021-09-30,10.02,ASBF
2021-10-01,10.02,ASBF
2021-10-04,10.03,ASBF
2021-10-05,10.03,ASBF
2021-10-06,10.03,ASBF
2021-10-07,10.03,ASBF
2021-10-08,10.03,ASBF
2021-10-11,10.03,ASBF
2021-10-12,10.04,ASBF
2021-10-13,10.04,ASBF
2021-10-14,10.04,ASBF
2021-10-15,10.04,ASBF
2021-10-18,10.04,ASBF
2021-10-19,10.04,ASBF
2021-10-20,10.05,ASBF
2021-10-21,10.05,ASBF
2021-10-22,10.05,ASBF
2021-10-25,10.05,ASBF
2021-10-26,10.05,ASBF
2021-10-27,10.05,ASBF
2021-10-28,10.05,ASBF
2021-10-29,10.06,ASBF
2021-11-01,10.06,ASBF
2021-11-02,10.06,ASBF
2021-11-03,10.06,ASBF
2021-11-04,10.06,ASBF
2021-11-05,10.06,ASBF
2021-11-08,10.07,ASBF
2021-11-09,10.07,ASBF
2021-11-10,10.07,ASBF
2021-11-11,10.07,ASBF
2021-11-12,10.07,ASBF
2021-11-15,10.08,ASBF
2021-11-16,10.08,ASBF
2021-11-17,10.08,ASBF
2021-11-18,10.08,ASBF
2021-11-19,10.08,ASBF
2021-11-22,10.08,ASBF
2021-11-23,10.09,ASBF
2021-11-24,10.09,ASBF
2021-11-25,10.09,ASBF
2021-11-26,10.09,ASBF
2021-11-29,10.09,ASBF
2021-11-30,10.09,ASBF
2021-12-01,10.08,ASBF
2021-12-02,10.1,ASBF
2021-12-03,10.1,ASBF
2021-12-06,10.1,ASBF
2021-12-07,10.1,ASBF
2021-12-08,10.1,ASBF
2021-12-09,10.1,ASBF
2021-12-10,10.11,ASBF
2021-12-13,10.11,ASBF
2021-12-14,10.12,ASBF
2021-12-15,10.11,ASBF
2021-12-16,10.11,ASBF
2021-12-17,10.12,ASBF
2021-12-20,10.12,ASBF
2021-12-21,10.13,ASBF
2021-12-22,10.12,ASBF
2021-12-23,10.11,ASBF
2021-12-24,10.1,ASBF
2021-12-27,10.12,ASBF
2021-12-28,10.11,ASBF
2021-12-29,10.11,ASBF
2021-12-30,10.12,ASBF
2021-12-31,10.14,ASBF
2022-01-04,10.14,ASBF
2022-01-05,10.14,ASBF
2022-01-06,10.14,ASBF
2022-01-07,10.15,ASBF
2022-01-10,10.15,ASBF
2022-01-11,10.15,ASBF
2022-01-12,10.15,ASBF
2022-01-13,10.15,ASBF
2022-01-14,10.15,ASBF
2022-01-17,10.16,ASBF
2022-01-18,10.16,ASBF
2022-01-19,10.16,ASBF
2022-01-20,10.16,ASBF
2022-01-21,10.16,ASBF
2022-01-24,10.17,ASBF
2022-01-25,10.17,ASBF
2022-01-26,10.17,ASBF
2022-01-27,10.17,ASBF
2022-01-28,10.17,ASBF
2022-02-07,10.18,ASBF
2022-02-08,10.18,ASBF
2022-02-09,10.18,ASBF
2022-02-10,10.19,ASBF
2022-02-11,10.19,ASBF
2022-02-14,10.19,ASBF
2022-02-15,10.19,ASBF
2022-02-16,10.19,ASBF
2022-02-17,10.19,ASBF
2022-02-18,10.2,ASBF
2022-02-21,10.2,ASBF
2022-02-22,10.2,ASBF
2022-02-23,10.2,ASBF
2022-02-24,10.2,ASBF
2022-02-25,10.2,ASBF
2022-02-28,10.21,ASBF
2022-03-01,10.21,ASBF
2022-03-02,10.21,ASBF
2022-03-03,10.21,ASBF
2022-03-04,10.21,ASBF
2022-03-07,10.21,ASBF
2022-03-08,10.22,ASBF
2022-03-09,10.22,ASBF
2022-03-10,10.22,ASBF
2022-03-11,10.22,ASBF
2022-03-14,10.22,ASBF
2022-03-15,10.22,ASBF
2022-03-16,10.23,ASBF
2022-03-17,10.23,ASBF
2022-03-18,10.23,ASBF
2022-03-21,10.23,ASBF
2022-03-22,10.23,ASBF
2022-03-23,10.23,ASBF
2022-03-24,10.24,ASBF
2022-03-25,10.24,ASBF
2022-03-28,10.24,ASBF
2022-03-29,10.24,ASBF
2022-03-30,10.24,ASBF
2022-03-31,10.24,ASBF
2022-04-01,10.24,ASBF
2022-04-04,10.25,ASBF
2022-04-05,10.25,ASBF
2022-04-06,10.25,ASBF
2022-04-07,10.25,ASBF
2022-04-08,10.25,ASBF
2022-04-12,10.26,ASBF
2022-04-13,10.26,ASBF
2022-04-14,10.26,ASBF
2022-04-15,10.26,ASBF
2022-04-18,10.27,ASBF
2022-04-19,10.27,ASBF
2022-04-20,10.27,ASBF
2022-04-21,10.27,ASBF
2022-04-22,10.27,ASBF
2022-04-25,10.27,ASBF
2022-04-26,10.28,ASBF
2022-04-27,10.28,ASBF
2022-04-28,10.28,ASBF
2022-04-29,10.28,ASBF
2022-05-04,10.29,ASBF
2022-05-05,10.29,ASBF
2022-05-06,10.29,ASBF
2022-05-09,10.29,ASBF
2022-05-10,10.29,ASBF
2022-05-11,10.29,ASBF
2022-05-12,10.3,ASBF
2022-05-13,10.3,ASBF
2022-05-16,10.3,ASBF
2022-05-17,10.3,ASBF
2022-05-18,10.3,ASBF
2022-05-19,10.3,ASBF
2022-05-20,10.31,ASBF
2022-05-23,10.31,ASBF
2022-05-24,10.31,ASBF
2022-05-25,10.31,ASBF
2022-05-26,10.31,ASBF
2022-05-27,10.31,ASBF
2022-05-30,10.32,ASBF
2022-05-31,10.32,ASBF
2022-06-01,10.32,ASBF
2022-06-02,10.32,ASBF
2022-06-03,10.32,ASBF
2022-06-06,10.33,ASBF
2022-06-07,10.33,ASBF
2022-06-08,10.33,ASBF
2022-06-09,10.33,ASBF
2022-06-10,10.33,ASBF
2022-06-13,10.34,ASBF
2022-06-14,10.34,ASBF
2022-06-15,10.34,ASBF
2022-06-16,10.34,ASBF
2022-06-17,10.34,ASBF
2022-06-20,10.34,ASBF
2022-06-21,10.35,ASBF
2022-06-22,10.35,ASBF
2022-06-23,10.35,ASBF
2022-06-24,10.35,ASBF
2022-06-27,10.35,ASBF
2022-06-28,10.35,ASBF
2022-06-29,10.36,ASBF
2022-06-30,10.36,ASBF
2022-07-01,10.36,ASBF
2022-07-04,10.36,ASBF
2022-07-05,10.36,ASBF
2022-07-06,10.36,ASBF
2022-07-07,10.37,ASBF
2022-07-08,10.37,ASBF
2022-07-11,10.37,ASBF
2022-07-12,10.37,ASBF
2022-07-13,10.37,ASBF
2022-07-14,10.37,ASBF
2022-07-15,10.37,ASBF
2022-07-18,10.38,ASBF
2022-07-19,10.38,ASBF
2022-07-20,10.38,ASBF
2022-07-21,10.38,ASBF
2022-07-22,10.38,ASBF
2022-07-25,10.39,ASBF
2022-07-26,10.39,ASBF
2022-07-27,10.39,ASBF
2022-07-28,10.39,ASBF
2022-07-29,10.39,ASBF
2022-08-01,10.4,ASBF
2022-08-02,10.4,ASBF
2022-08-03,10.4,ASBF
2022-08-04,10.4,ASBF
2022-08-05,10.4,ASBF
2022-08-08,10.4,ASBF
2022-08-09,10.41,ASBF
2022-08-10,10.41,ASBF
2022-08-11,10.41,ASBF
2022-08-12,10.41,ASBF
2022-08-15,10.41,ASBF
2022-08-16,10.42,ASBF
2022-08-18,10.42,ASBF
2022-08-19,10.42,ASBF
2022-08-22,10.42,ASBF
2022-08-23,10.42,ASBF
2022-08-24,10.43,ASBF
2022-08-25,10.43,ASBF
2022-08-26,10.43,ASBF
2022-08-29,10.43,ASBF
2022-08-30,10.43,ASBF
2022-08-31,10.44,ASBF
2022-09-05,10.44,ASBF
2022-09-06,10.44,ASBF
2022-09-07,10.45,ASBF
2022-09-08,10.45,ASBF
2022-09-09,10.45,ASBF
2022-09-12,10.45,ASBF
2022-09-13,10.45,ASBF
2022-09-14,10.46,ASBF
2022-09-15,10.46,ASBF
2022-09-16,10.46,ASBF
2022-09-19,10.46,ASBF
2022-09-20,10.46,ASBF
2022-09-21,10.47,ASBF
2022-09-22,10.47,ASBF
2022-09-23,10.47,ASBF
2022-09-26,10.47,ASBF
2022-09-27,10.47,ASBF
2022-09-28,10.48,ASBF
2022-09-29,10.48,ASBF
2022-09-30,10.48,ASBF
2022-10-03,10.48,ASBF
2022-10-04,10.48,ASBF
2022-10-05,10.48,ASBF
2022-10-06,10.49,ASBF
2022-10-07,10.49,ASBF
2022-10-10,10.49,ASBF
2022-10-11,10.49,ASBF
2022-10-12,10.49,ASBF
2022-10-13,10.5,ASBF
2022-10-14,10.5,ASBF
2022-10-17,10.5,ASBF
2022-10-18,10.5,ASBF
2022-10-19,10.5,ASBF
2022-10-20,10.5,ASBF
2022-10-21,10.51,ASBF
2022-10-24,10.51,ASBF
2022-10-25,10.51,ASBF
2022-10-26,10.51,ASBF
2022-10-27,10.51,ASBF
2022-10-28,10.51,ASBF
2022-10-31,10.52,ASBF
2022-11-01,10.52,ASBF
2022-11-02,10.52,ASBF
2022-11-03,10.52,ASBF
2022-11-04,10.53,ASBF
2022-11-07,10.53,ASBF
2022-11-08,10.53,ASBF
2022-11-09,10.53,ASBF
2022-11-10,10.53,ASBF
2022-11-11,10.54,ASBF
2022-11-14,10.54,ASBF
2022-11-15,10.54,ASBF
2022-11-16,10.54,ASBF
2022-11-17,10.55,ASBF
2022-11-18,10.55,ASBF
2022-11-21,10.55,ASBF
2022-11-22,10.55,ASBF
2022-11-23,10.55,ASBF
2022-11-24,10.56,ASBF
2022-11-25,10.56,ASBF
2022-11-28,10.56,ASBF
2022-11-29,10.56,ASBF
2022-11-30,10.57,ASBF
2022-12-01,10.57,ASBF
2022-12-02,10.57,ASBF
2022-12-05,10.57,ASBF
2022-12-06,10.57,ASBF
2022-12-07,10.58,ASBF
2022-12-08,10.58,ASBF
2022-12-09,10.58,ASBF
2022-12-12,10.58,ASBF
2022-12-13,10.59,ASBF
2022-12-14,10.59,ASBF
2022-12-15,10.59,ASBF
2022-12-16,10.59,ASBF
2022-12-19,10.6,ASBF
2022-12-20,10.6,ASBF
2022-12-21,10.6,ASBF
2022-12-22,10.6,ASBF
2022-12-23,10.6,ASBF
2022-12-26,10.61,ASBF
2022-12-27,10.61,ASBF
2022-12-28,10.61,ASBF
2022-12-29,10.61,ASBF
2022-12-30,10.62,ASBF
2023-01-03,10.62,ASBF
2023-01-04,10.62,ASBF
2023-01-05,10.63,ASBF
2023-01-06,10.63,ASBF
2023-01-09,10.63,ASBF
2023-01-10,10.63,ASBF
2023-01-11,10.64,ASBF
2023-01-12,10.64,ASBF
2023-01-13,10.64,ASBF
2023-01-16,10.65,ASBF
2023-01-17,10.65,ASBF
2023-01-18,10.65,ASBF
2023-01-19,10.65,ASBF
2023-01-27,10.67,ASBF
2023-01-30,10.67,ASBF
2023-01-31,10.67,ASBF
2023-02-01,10.67,ASBF
2023-02-02,10.68,ASBF
2023-02-03,10.68,ASBF
2023-02-06,10.68,ASBF
2023-02-07,10.68,ASBF
2023-02-08,10.69,ASBF
2023-02-09,10.69,ASBF
2023-02-10,10.69,ASBF
2023-02-13,10.69,ASBF
2023-02-14,10.7,ASBF
2023-02-15,10.7,ASBF
2023-02-16,10.7,ASBF
2023-02-17,10.7,ASBF
2023-02-20,10.7,ASBF
2023-02-21,10.71,ASBF
2023-02-22,10.71,ASBF
2023-02-23,10.71,ASBF
2023-02-24,10.71,ASBF
2023-02-27,10.72,ASBF
2023-02-28,10.72,ASBF
2023-03-01,10.72,ASBF
2023-03-02,10.72,ASBF
2023-03-03,10.73,ASBF
2023-03-06,10.73,ASBF
2023-03-07,10.73,ASBF
2023-03-08,10.74,ASBF
2023-03-09,10.74,ASBF
2023-03-10,10.74,ASBF
2023-03-13,10.75,ASBF
2023-03-14,10.75,ASBF
2023-03-15,10.75,ASBF
2023-03-16,10.75,ASBF
2023-03-17,10.75,ASBF
2023-03-20,10.76,ASBF
2023-03-21,10.76,ASBF
2023-03-22,10.76,ASBF
2023-03-23,10.77,ASBF
2023-03-24,10.77,ASBF
2023-03-27,10.77,ASBF
2023-03-28,10.78,ASBF
2023-03-29,10.78,ASBF
2023-03-30,10.78,ASBF
2023-03-31,10.78,ASBF
2023-04-03,10.79,ASBF
2023-04-04,10.79,ASBF
2023-04-05,10.79,ASBF
2023-04-06,10.79,ASBF
2023-04-07,10.8,ASBF
2023-04-10,10.8,ASBF
2023-04-11,10.8,ASBF
2023-04-12,10.81,ASBF
2023-04-13,10.81,ASBF
2023-04-14,10.81,ASBF
2023-04-17,10.82,ASBF
2023-04-18,10.82,ASBF
2023-04-19,10.82,ASBF
2023-04-20,10.82,ASBF
2023-04-21,10.82,ASBF
2023-04-24,10.83,ASBF
2023-04-25,10.83,ASBF
2023-04-26,10.83,ASBF
2023-04-27,10.84,ASBF
2023-04-28,10.84,ASBF
2023-05-04,10.84,ASBF
2023-05-05,10.85,ASBF
2023-05-08,10.86,ASBF
2023-05-09,10.86,ASBF
2023-05-10,10.86,ASBF
2023-05-11,10.87,ASBF
2023-05-12,10.87,ASBF
2023-05-15,10.87,ASBF
2023-05-16,10.88,ASBF
2023-05-17,10.88,ASBF
2023-05-18,10.88,ASBF
2023-05-19,10.88,ASBF
2023-05-22,10.89,ASBF
2023-05-23,10.89,ASBF
2023-05-24,10.89,ASBF
2023-05-25,10.9,ASBF
2023-05-26,10.9,ASBF
2023-05-29,10.91,ASBF
2023-05-30,10.91,ASBF
2023-05-31,10.91,ASBF
2023-06-01,10.91,ASBF
2023-06-02,10.91,ASBF
2023-06-05,10.92,ASBF
2023-06-06,10.92,ASBF
