date,price,symbol
2023-05-09,10.0,VMEEF
2023-05-11,10.0,VMEEF
2023-05-31,10.09,VMEEF
2023-06-01,10.04,VMEEF
2023-06-02,10.08,VMEEF
2023-06-05,10.24,VMEEF
2023-06-06,10.28,VMEEF
2023-06-07,10.4,VMEEF
2023-06-08,10.37,VMEEF
2023-06-09,10.24,VMEEF
2023-06-12,10.31,VMEEF
2023-06-13,10.37,VMEEF
2023-06-14,10.43,VMEEF
2023-06-15,10.4,VMEEF
2023-06-16,10.39,VMEEF
2023-06-19,10.4,VMEEF
2023-06-20,10.37,VMEEF
2023-06-21,10.41,VMEEF
2023-06-22,10.46,VMEEF
2023-06-23,10.52,VMEEF
2023-06-26,10.55,VMEEF
2023-06-27,10.57,VMEEF
2023-06-28,10.6,VMEEF
2023-06-29,10.63,VMEEF
2023-06-30,10.48,VMEEF
2023-07-03,10.47,VMEEF
2023-07-04,10.48,VMEEF
2023-07-05,10.57,VMEEF
2023-07-06,10.59,VMEEF
2023-07-07,10.51,VMEEF
2023-07-10,10.63,VMEEF
2023-07-11,10.75,VMEEF
2023-07-12,10.8,VMEEF
2023-07-13,10.81,VMEEF
2023-07-14,10.91,VMEEF
2023-07-17,10.95,VMEEF
2023-07-18,10.97,VMEEF
2023-07-19,10.96,VMEEF
2023-07-20,10.96,VMEEF
2023-07-21,10.95,VMEEF
2023-07-24,11.08,VMEEF
2023-07-25,11.11,VMEEF
2023-07-26,11.17,VMEEF
2023-07-27,11.21,VMEEF
2023-07-28,11.19,VMEEF
2023-07-31,11.28,VMEEF
2023-08-01,11.35,VMEEF
2023-08-02,11.26,VMEEF
2023-08-03,11.29,VMEEF
2023-08-04,11.21,VMEEF
2023-08-07,11.29,VMEEF
2023-08-08,11.43,VMEEF
2023-08-09,11.39,VMEEF
2023-08-10,11.34,VMEEF
2023-08-11,11.18,VMEEF
2023-08-14,11.24,VMEEF
2023-08-15,11.28,VMEEF
2023-08-16,11.28,VMEEF
2023-08-17,11.37,VMEEF
2023-08-18,11.32,VMEEF
2023-08-21,10.94,VMEEF
2023-08-22,10.99,VMEEF
2023-08-23,11.0,VMEEF
2023-08-24,10.9,VMEEF
2023-08-25,11.08,VMEEF
2023-08-28,11.05,VMEEF
2023-08-29,11.21,VMEEF
2023-08-30,11.22,VMEEF
2023-08-31,11.34,VMEEF
2023-09-05,11.44,VMEEF
2023-09-06,11.61,VMEEF
2023-09-07,11.68,VMEEF
2023-09-08,11.69,VMEEF
2023-09-11,11.64,VMEEF
2023-09-12,11.46,VMEEF
2023-09-13,11.63,VMEEF
2023-09-14,11.57,VMEEF
2023-09-15,11.5,VMEEF
2023-09-18,11.56,VMEEF
2023-09-19,11.46,VMEEF
2023-09-20,11.45,VMEEF
2023-09-21,11.56,VMEEF
2023-09-22,11.46,VMEEF
2023-09-25,11.32,VMEEF
2023-09-26,11.03,VMEEF
2023-09-27,10.89,VMEEF
2023-09-28,11.01,VMEEF
2023-09-29,10.97,VMEEF
