date,price,symbol
2020-01-01,11.61,MAFEQI
2020-01-03,11.72,MAFEQI
2020-01-06,11.67,MAFEQI
2020-01-10,11.62,MAFEQI
2020-01-13,11.8,MAFEQI
2020-01-17,11.89,MAFEQI
2020-01-20,11.96,MAFEQI
2020-01-24,12.18,MAFEQI
2020-01-27,12.18,MAFEQI
2020-01-31,11.44,MAFEQI
2020-02-03,11.44,MAFEQI
2020-02-07,11.65,MAFEQI
2020-02-10,11.62,MAFEQI
2020-02-14,11.61,MAFEQI
2020-02-17,11.65,MAFEQI
2020-02-21,11.68,MAFEQI
2020-02-24,11.6,MAFEQI
2020-02-28,11.33,MAFEQI
2020-02-29,11.12,MAFEQI
2020-03-02,11.12,MAFEQI
2020-03-06,11.26,MAFEQI
2020-03-09,11.21,MAFEQI
2020-03-13,9.53,MAFEQI
2020-03-16,9.49,MAFEQI
2020-03-20,8.96,MAFEQI
2020-03-23,8.78,MAFEQI
2020-03-27,8.43,MAFEQI
2020-03-30,8.36,MAFEQI
2020-04-01,7.88,MAFEQI
2020-04-03,8.14,MAFEQI
2020-04-06,8.42,MAFEQI
2020-04-10,9.12,MAFEQI
2020-04-13,9.04,MAFEQI
2020-04-17,9.38,MAFEQI
2020-04-20,9.56,MAFEQI
2020-04-24,9.39,MAFEQI
2020-04-27,9.39,MAFEQI
2020-05-01,9.3,MAFEQI
2020-05-04,9.3,MAFEQI
2020-05-08,9.59,MAFEQI
2020-05-11,9.76,MAFEQI
2020-05-15,10.05,MAFEQI
2020-05-18,9.95,MAFEQI
2020-05-22,10.49,MAFEQI
2020-05-25,10.37,MAFEQI
2020-05-29,10.46,MAFEQI
2020-06-01,10.54,MAFEQI
2020-06-05,10.82,MAFEQI
2020-06-08,10.85,MAFEQI
2020-06-12,10.64,MAFEQI
2020-06-15,10.66,MAFEQI
2020-06-19,10.49,MAFEQI
2020-06-22,10.65,MAFEQI
2020-06-26,10.45,MAFEQI
2020-06-29,10.4,MAFEQI
2020-07-01,10.06,MAFEQI
2020-07-03,10.26,MAFEQI
2020-07-06,10.29,MAFEQI
2020-07-10,10.68,MAFEQI
2020-07-13,10.58,MAFEQI
2020-07-17,10.65,MAFEQI
2020-07-20,10.6,MAFEQI
2020-07-24,10.4,MAFEQI
2020-07-27,10.03,MAFEQI
2020-07-31,9.59,MAFEQI
2020-08-03,9.59,MAFEQI
2020-08-07,10.14,MAFEQI
2020-08-10,10.16,MAFEQI
2020-08-14,10.37,MAFEQI
2020-08-17,10.31,MAFEQI
2020-08-21,10.33,MAFEQI
2020-08-24,10.44,MAFEQI
2020-08-28,10.63,MAFEQI
2020-08-31,10.72,MAFEQI
2020-09-04,10.92,MAFEQI
2020-09-07,10.86,MAFEQI
2020-09-11,10.71,MAFEQI
2020-09-14,10.69,MAFEQI
2020-09-18,10.75,MAFEQI
2020-09-21,10.87,MAFEQI
2020-09-25,11.04,MAFEQI
2020-09-28,11.05,MAFEQI
