date,price,symbol
2022-09-22,10.0,VCAMFI
2022-09-25,10.0,VCAMFI
2022-09-26,10.0,VCAMFI
2022-09-27,10.0,VCAMFI
2022-09-28,10.0,VCAMFI
2022-09-29,10.0,VCAMFI
2022-09-30,10.0,VCAMFI
2022-10-02,10.0,VCAMFI
2022-10-03,10.0,VCAMFI
2022-10-04,10.0,VCAMFI
2022-10-05,10.0,VCAMFI
2022-10-06,10.0,VCAMFI
2022-10-09,10.0,VCAMFI
2022-10-10,10.0,VCAMFI
2022-10-11,9.99,VCAMFI
2022-10-12,9.98,VCAMFI
2022-10-13,9.98,VCAMFI
2022-10-16,9.97,VCAMFI
2022-10-17,9.99,VCAMFI
2022-10-18,9.99,VCAMFI
2022-10-19,9.98,VCAMFI
2022-10-20,9.99,VCAMFI
2022-10-23,9.98,VCAMFI
2022-10-24,9.99,VCAMFI
2022-10-25,9.99,VCAMFI
2022-10-26,9.99,VCAMFI
2022-10-27,9.99,VCAMFI
2022-10-30,9.99,VCAMFI
2022-10-31,9.99,VCAMFI
2022-11-01,9.99,VCAMFI
2022-11-02,9.99,VCAMFI
2022-11-03,9.99,VCAMFI
2022-11-06,10.0,VCAMFI
2022-11-07,10.0,VCAMFI
2022-11-08,10.0,VCAMFI
2022-11-09,10.0,VCAMFI
2022-11-10,10.0,VCAMFI
2022-11-13,10.01,VCAMFI
2022-11-14,10.0,VCAMFI
2022-11-15,10.01,VCAMFI
2022-11-16,10.01,VCAMFI
2022-11-17,10.01,VCAMFI
2022-11-20,10.01,VCAMFI
2022-11-21,10.01,VCAMFI
2022-11-22,10.02,VCAMFI
2022-11-23,10.0,VCAMFI
2022-11-24,10.01,VCAMFI
2022-11-27,10.01,VCAMFI
2022-11-28,10.02,VCAMFI
2022-11-29,10.03,VCAMFI
2022-11-30,10.03,VCAMFI
2022-12-01,10.03,VCAMFI
2022-12-04,10.04,VCAMFI
2022-12-05,10.05,VCAMFI
2022-12-06,10.05,VCAMFI
2022-12-07,10.05,VCAMFI
2022-12-08,10.05,VCAMFI
2022-12-11,10.06,VCAMFI
2022-12-12,10.06,VCAMFI
2022-12-13,10.06,VCAMFI
2022-12-14,10.07,VCAMFI
2022-12-15,10.07,VCAMFI
2022-12-18,10.07,VCAMFI
2022-12-19,10.08,VCAMFI
2022-12-20,10.08,VCAMFI
2022-12-21,10.09,VCAMFI
2022-12-22,10.09,VCAMFI
2022-12-25,10.09,VCAMFI
2022-12-26,10.09,VCAMFI
2022-12-27,10.1,VCAMFI
2022-12-28,10.1,VCAMFI
2022-12-29,10.1,VCAMFI
2022-12-31,10.11,VCAMFI
2023-01-02,10.11,VCAMFI
2023-01-03,10.11,VCAMFI
2023-01-04,10.11,VCAMFI
2023-01-05,10.11,VCAMFI
2023-01-08,10.11,VCAMFI
2023-01-09,10.12,VCAMFI
2023-01-10,10.12,VCAMFI
2023-01-11,10.12,VCAMFI
2023-01-12,10.12,VCAMFI
2023-01-15,10.13,VCAMFI
2023-01-16,10.13,VCAMFI
2023-01-17,10.14,VCAMFI
2023-01-18,10.15,VCAMFI
2023-01-25,10.15,VCAMFI
2023-01-26,10.16,VCAMFI
2023-01-29,10.17,VCAMFI
2023-01-30,10.17,VCAMFI
2023-01-31,10.17,VCAMFI
2023-02-01,10.17,VCAMFI
2023-02-02,10.18,VCAMFI
2023-02-05,10.18,VCAMFI
2023-02-06,10.19,VCAMFI
2023-02-07,10.19,VCAMFI
2023-02-08,10.19,VCAMFI
2023-02-09,10.19,VCAMFI
2023-02-12,10.2,VCAMFI
2023-02-13,10.2,VCAMFI
2023-02-14,10.2,VCAMFI
2023-02-15,10.2,VCAMFI
2023-02-16,10.2,VCAMFI
2023-02-19,10.2,VCAMFI
2023-02-20,10.21,VCAMFI
2023-02-21,10.21,VCAMFI
2023-02-22,10.21,VCAMFI
2023-02-23,10.21,VCAMFI
2023-02-26,10.22,VCAMFI
2023-02-27,10.22,VCAMFI
2023-02-28,10.22,VCAMFI
2023-03-01,10.22,VCAMFI
2023-03-02,10.22,VCAMFI
2023-03-05,10.23,VCAMFI
2023-03-06,10.23,VCAMFI
2023-03-07,10.23,VCAMFI
2023-03-08,10.23,VCAMFI
2023-03-09,10.24,VCAMFI
2023-03-12,10.24,VCAMFI
2023-03-13,10.24,VCAMFI
2023-03-14,10.24,VCAMFI
2023-03-15,10.24,VCAMFI
2023-03-16,10.25,VCAMFI
2023-03-19,10.25,VCAMFI
2023-03-20,10.26,VCAMFI
2023-03-21,10.26,VCAMFI
2023-03-22,10.26,VCAMFI
2023-03-23,10.26,VCAMFI
2023-03-26,10.26,VCAMFI
2023-03-27,10.27,VCAMFI
2023-03-28,10.27,VCAMFI
2023-03-29,10.27,VCAMFI
2023-03-30,10.28,VCAMFI
2023-03-31,10.28,VCAMFI
2023-04-03,10.28,VCAMFI
2023-04-04,10.28,VCAMFI
2023-04-05,10.29,VCAMFI
2023-04-06,10.28,VCAMFI
2023-04-07,10.28,VCAMFI
