date,price,symbol
2021-02-04,10.0,DFIX
2021-02-08,9.99,DFIX
2021-02-22,9.98,DFIX
2021-03-01,9.98,DFIX
2021-03-08,9.98,DFIX
2021-03-15,9.98,DFIX
2021-03-22,9.99,DFIX
2021-03-29,9.99,DFIX
2021-04-05,9.99,DFIX
2021-04-12,10.0,DFIX
2021-04-19,10.0,DFIX
2021-04-26,10.0,DFIX
2021-05-03,10.01,DFIX
2021-05-10,10.01,DFIX
2021-05-17,10.01,DFIX
2021-05-24,10.02,DFIX
2021-05-31,10.02,DFIX
2021-06-09,10.02,DFIX
2021-06-16,10.02,DFIX
2021-06-23,10.03,DFIX
2021-06-30,10.03,DFIX
2021-07-07,10.03,DFIX
2021-07-14,10.04,DFIX
2021-07-21,10.04,DFIX
2021-07-29,10.04,DFIX
2021-08-04,10.04,DFIX
2021-08-12,10.04,DFIX
2021-08-18,10.05,DFIX
2021-08-25,10.05,DFIX
2021-09-01,10.05,DFIX
2021-09-08,10.05,DFIX
2021-09-15,10.05,DFIX
2021-09-22,10.06,DFIX
2021-09-29,10.06,DFIX
2021-10-06,10.06,DFIX
2021-10-13,10.07,DFIX
2021-10-21,10.07,DFIX
2021-10-27,10.07,DFIX
2021-11-04,10.07,DFIX
2021-11-10,10.08,DFIX
2021-11-17,10.08,DFIX
2021-11-24,10.09,DFIX
2021-12-01,10.09,DFIX
2021-12-08,10.09,DFIX
2021-12-15,10.1,DFIX
2021-12-22,10.1,DFIX
2021-12-28,10.11,DFIX
2022-01-05,10.11,DFIX
2022-01-12,10.11,DFIX
2022-01-19,10.12,DFIX
2022-01-26,10.12,DFIX
2022-02-09,10.13,DFIX
2022-02-16,10.14,DFIX
2022-02-23,10.14,DFIX
2022-03-02,10.14,DFIX
2022-03-09,10.15,DFIX
2022-03-16,10.15,DFIX
2022-03-23,10.15,DFIX
2022-03-30,10.08,DFIX
2022-04-06,10.07,DFIX
2022-04-13,10.14,DFIX
2022-04-20,10.15,DFIX
2022-04-27,10.18,DFIX
2022-05-11,10.19,DFIX
2022-05-18,10.19,DFIX
2022-05-25,10.2,DFIX
2022-06-01,10.2,DFIX
2022-06-08,10.15,DFIX
2022-06-15,10.21,DFIX
2022-06-22,10.22,DFIX
2022-06-29,10.22,DFIX
2022-07-06,10.23,DFIX
2022-07-13,10.24,DFIX
2022-07-19,10.24,DFIX
2022-07-26,10.26,DFIX
2022-08-02,10.23,DFIX
2022-08-09,10.24,DFIX
2022-08-16,10.22,DFIX
2022-08-23,10.23,DFIX
2022-08-30,10.29,DFIX
2022-09-06,10.24,DFIX
2022-09-13,10.16,DFIX
2022-09-20,10.28,DFIX
2022-09-27,10.31,DFIX
2022-10-04,10.12,DFIX
2022-10-11,10.12,DFIX
2022-10-18,10.35,DFIX
2022-10-25,10.19,DFIX
2022-11-01,10.16,DFIX
2022-11-08,10.24,DFIX
2022-11-15,10.25,DFIX
2022-11-22,10.25,DFIX
2022-11-29,10.11,DFIX
2022-12-06,10.16,DFIX
2022-12-13,10.12,DFIX
2022-12-20,10.13,DFIX
2022-12-27,10.19,DFIX
2023-01-03,10.2,DFIX
2023-01-10,10.2,DFIX
2023-01-17,10.3,DFIX
2023-01-31,10.26,DFIX
2023-02-07,10.27,DFIX
2023-02-14,10.28,DFIX
2023-02-21,10.47,DFIX
2023-02-28,10.48,DFIX
2023-03-07,10.48,DFIX
2023-03-14,10.53,DFIX
2023-03-21,10.56,DFIX
2023-03-28,10.58,DFIX
2023-04-04,10.49,DFIX
2023-04-11,10.5,DFIX
2023-04-18,10.39,DFIX
2023-04-25,10.4,DFIX
2023-05-09,10.42,DFIX
2023-05-16,10.54,DFIX
2023-05-23,10.58,DFIX
2023-05-30,10.53,DFIX
2023-06-06,10.48,DFIX
2023-06-13,10.46,DFIX
2023-06-20,10.56,DFIX
2023-06-27,10.65,DFIX
2023-07-04,10.62,DFIX
2023-07-11,10.65,DFIX
2023-07-18,10.52,DFIX
2023-07-25,10.68,DFIX
2023-08-01,10.75,DFIX
2023-08-08,10.63,DFIX
2023-08-15,10.77,DFIX
2023-08-22,10.9,DFIX
2023-08-29,10.99,DFIX
2023-09-05,11.0,DFIX
2023-09-12,11.0,DFIX
2023-09-19,11.02,DFIX
2023-09-26,11.04,DFIX
2023-10-03,11.03,DFIX
2023-10-10,11.03,DFIX
2023-10-17,11.05,DFIX
2023-10-24,11.05,DFIX
2023-10-31,11.08,DFIX
2023-11-07,10.98,DFIX
2023-11-14,11.11,DFIX
2023-11-21,10.97,DFIX
2023-11-28,10.97,DFIX
2023-12-05,10.99,DFIX
2023-12-12,10.99,DFIX
2023-12-19,10.99,DFIX
2023-12-26,11.02,DFIX
2024-01-02,11.03,DFIX
2024-01-09,11.03,DFIX
2024-01-16,10.92,DFIX
2024-01-23,10.92,DFIX
2024-01-30,10.92,DFIX
2024-02-06,11.06,DFIX
2024-02-20,11.11,DFIX
2024-02-27,11.09,DFIX
2024-03-05,11.09,DFIX
2024-03-12,11.09,DFIX
2024-03-19,11.08,DFIX
2024-03-26,11.11,DFIX
2024-04-02,11.13,DFIX
2024-04-09,11.13,DFIX
2024-04-16,11.14,DFIX
2024-04-23,11.12,DFIX
2024-05-07,11.11,DFIX
2024-05-14,11.15,DFIX
2024-05-21,11.16,DFIX
2024-05-28,11.14,DFIX
2024-06-04,11.18,DFIX
2024-06-11,11.18,DFIX
2024-06-18,11.19,DFIX
2024-06-25,11.2,DFIX
2024-07-02,11.19,DFIX
2024-07-09,11.21,DFIX
2024-07-16,11.21,DFIX
2024-07-23,11.22,DFIX
2024-07-30,11.22,DFIX
2024-08-06,11.23,DFIX
2024-08-13,11.24,DFIX
2024-08-20,11.25,DFIX
2024-08-27,11.23,DFIX
2024-09-10,11.23,DFIX
2024-09-17,11.27,DFIX
2024-09-24,11.29,DFIX
2024-10-01,11.26,DFIX
2024-10-08,11.27,DFIX
2024-10-22,11.31,DFIX
2024-10-29,11.32,DFIX
2024-11-05,11.33,DFIX
2024-11-12,11.34,DFIX
2024-11-19,11.35,DFIX
2024-11-26,11.36,DFIX
2024-12-03,11.36,DFIX
2024-12-10,11.36,DFIX
2024-12-17,11.37,DFIX
2024-12-24,11.36,DFIX
2024-12-31,11.36,DFIX
2025-01-07,11.37,DFIX
2025-01-14,11.37,DFIX
2025-01-21,11.38,DFIX
2025-02-04,11.4,DFIX
2025-02-11,11.39,DFIX
2025-02-18,11.39,DFIX
2025-02-25,11.42,DFIX
2025-03-04,11.42,DFIX
2025-03-11,11.45,DFIX
2025-03-18,11.47,DFIX
2025-03-25,11.49,DFIX
2025-04-01,11.48,DFIX
2025-04-08,11.49,DFIX
2025-04-15,11.48,DFIX
2025-04-22,11.5,DFIX
2025-04-29,11.51,DFIX
2025-05-06,11.51,DFIX
2025-05-13,11.52,DFIX
2025-05-20,11.52,DFIX
2025-05-27,11.53,DFIX
2025-06-03,11.56,DFIX
2025-06-10,11.54,DFIX
2025-06-17,11.56,DFIX
2025-06-24,11.55,DFIX
2025-07-01,11.56,DFIX
2025-07-08,11.58,DFIX
2025-07-15,11.61,DFIX
2025-07-22,11.63,DFIX
2025-07-24,11.63,DFIX
2025-07-29,11.63,DFIX
2025-07-31,11.64,DFIX
