date,price,symbol
2020-01-02,11.51,BVPF
2020-01-06,11.41,BVPF
2020-01-09,11.4,BVPF
2020-01-13,11.45,BVPF
2020-01-16,11.5,BVPF
2020-01-20,11.52,BVPF
2020-01-23,11.6,BVPF
2020-01-27,11.6,BVPF
2020-01-30,11.38,BVPF
2020-01-31,11.14,BVPF
2020-02-03,10.97,BVPF
2020-02-06,11.15,BVPF
2020-02-10,11.04,BVPF
2020-02-13,11.26,BVPF
2020-02-17,11.27,BVPF
2020-02-20,11.38,BVPF
2020-02-24,10.96,BVPF
2020-02-27,11.05,BVPF
2020-02-29,10.89,BVPF
2020-03-03,11.0,BVPF
2020-03-06,11.07,BVPF
2020-03-10,10.57,BVPF
2020-03-13,10.04,BVPF
2020-03-17,9.87,BVPF
2020-03-20,9.76,BVPF
2020-03-24,9.39,BVPF
2020-03-27,9.52,BVPF
2020-03-31,9.18,BVPF
2020-04-03,9.31,BVPF
2020-04-07,9.75,BVPF
2020-04-10,9.81,BVPF
2020-04-14,9.9,BVPF
2020-04-17,10.1,BVPF
2020-04-21,10.31,BVPF
2020-04-24,10.22,BVPF
2020-04-28,10.22,BVPF
2020-04-30,10.2,BVPF
2020-05-05,10.09,BVPF
2020-05-08,10.33,BVPF
2020-05-12,10.45,BVPF
2020-05-15,10.62,BVPF
2020-05-19,10.61,BVPF
2020-05-22,10.72,BVPF
2020-05-26,10.74,BVPF
2020-05-29,10.74,BVPF
2020-06-02,10.9,BVPF
2020-06-05,10.91,BVPF
2020-06-09,11.07,BVPF
2020-06-12,10.82,BVPF
2020-06-16,10.6,BVPF
2020-06-19,10.71,BVPF
2020-06-23,10.81,BVPF
2020-06-26,10.76,BVPF
2020-06-30,10.6,BVPF
2020-07-03,10.68,BVPF
2020-07-07,10.75,BVPF
2020-07-10,10.85,BVPF
2020-07-14,10.76,BVPF
2020-07-17,10.85,BVPF
2020-07-21,10.88,BVPF
2020-07-24,10.89,BVPF
2020-07-28,10.39,BVPF
2020-07-31,10.5,BVPF
2020-08-03,10.6,BVPF
2020-08-06,10.79,BVPF
2020-08-10,10.79,BVPF
2020-08-13,10.93,BVPF
2020-08-17,10.95,BVPF
2020-08-20,10.93,BVPF
2020-08-24,11.09,BVPF
2020-08-27,11.24,BVPF
2020-08-31,11.26,BVPF
2020-09-03,11.35,BVPF
2020-09-10,11.31,BVPF
2020-09-14,11.33,BVPF
2020-09-17,11.36,BVPF
2020-09-21,11.46,BVPF
2020-09-24,11.49,BVPF
2020-09-28,11.57,BVPF
2020-09-30,11.56,BVPF
2020-10-02,11.6,BVPF
2020-10-06,11.77,BVPF
2020-10-09,11.72,BVPF
2020-10-13,11.82,BVPF
2020-10-16,11.97,BVPF
2020-10-20,12.07,BVPF
2020-10-23,12.06,BVPF
2020-10-27,12.06,BVPF
2020-10-30,11.88,BVPF
2020-11-03,11.99,BVPF
2020-11-06,12.04,BVPF
2020-11-10,12.15,BVPF
2020-11-13,12.22,BVPF
2020-11-17,12.22,BVPF
2020-11-20,12.39,BVPF
2020-11-24,12.51,BVPF
2020-11-27,12.36,BVPF
2020-12-01,12.56,BVPF
2020-12-04,12.78,BVPF
2020-12-08,12.83,BVPF
2020-12-11,12.73,BVPF
2020-12-15,13.0,BVPF
2020-12-18,12.95,BVPF
2020-12-22,13.14,BVPF
2020-12-25,13.08,BVPF
2020-12-29,13.16,BVPF
2021-01-05,13.39,BVPF
2021-01-08,13.61,BVPF
2021-01-12,13.76,BVPF
2021-01-15,13.78,BVPF
2021-01-19,13.89,BVPF
2021-01-22,13.74,BVPF
2021-01-26,13.75,BVPF
2021-01-29,12.84,BVPF
2021-02-02,13.02,BVPF
2021-02-05,13.54,BVPF
2021-02-10,13.4,BVPF
2021-02-16,13.62,BVPF
2021-02-19,13.94,BVPF
2021-02-23,13.85,BVPF
2021-02-26,14.05,BVPF
2021-03-02,14.15,BVPF
2021-03-05,13.97,BVPF
2021-03-09,14.09,BVPF
2021-03-12,14.22,BVPF
