date,price,symbol
2020-01-01,40.75,DCDS
2020-01-02,40.75,DCDS
2020-01-03,41.03,DCDS
2020-01-04,51.86,DCDS
2020-01-05,52.43,DCDS
2020-01-06,40.87,DCDS
2020-01-07,40.47,DCDS
2020-01-08,40.69,DCDS
2020-01-09,40.21,DCDS
2020-01-10,40.7,DCDS
2020-01-13,40.98,DCDS
2020-01-14,40.85,DCDS
2020-01-15,40.95,DCDS
2020-01-16,40.96,DCDS
2020-01-17,41.3,DCDS
2020-01-20,41.44,DCDS
2020-01-21,41.74,DCDS
2020-01-22,41.89,DCDS
2020-01-30,42.12,DCDS
2020-01-31,40.9,DCDS
2020-02-01,39.96,DCDS
2020-02-03,39.95,DCDS
2020-02-04,39.68,DCDS
2020-02-05,39.79,DCDS
2020-02-06,39.78,DCDS
2020-02-07,40.41,DCDS
2020-02-10,40.31,DCDS
2020-02-11,39.8,DCDS
2020-02-12,40.03,DCDS
2020-02-13,40.43,DCDS
2020-02-14,40.43,DCDS
2020-02-17,40.47,DCDS
2020-02-18,40.45,DCDS
2020-02-19,40.61,DCDS
2020-02-20,40.74,DCDS
2020-02-21,40.95,DCDS
2020-02-24,40.66,DCDS
2020-02-25,39.29,DCDS
2020-02-26,39.82,DCDS
2020-02-27,39.51,DCDS
2020-02-28,39.83,DCDS
2020-03-01,39.23,DCDS
2020-03-02,39.23,DCDS
2020-03-03,39.34,DCDS
2020-03-04,39.62,DCDS
2020-03-05,39.52,DCDS
2020-03-06,39.52,DCDS
2020-03-09,39.33,DCDS
2020-03-10,37.06,DCDS
2020-03-11,37.17,DCDS
2020-03-12,35.96,DCDS
2020-03-13,34.15,DCDS
2020-03-16,33.82,DCDS
2020-03-17,32.99,DCDS
2020-03-18,33.19,DCDS
2020-03-19,33.3,DCDS
2020-03-20,32.56,DCDS
2020-03-23,32.24,DCDS
2020-03-24,30.58,DCDS
2020-03-25,30.38,DCDS
2020-03-26,31.42,DCDS
2020-03-27,31.14,DCDS
2020-03-30,30.82,DCDS
2020-03-31,29.78,DCDS
2020-04-01,29.76,DCDS
2020-04-03,30.47,DCDS
2020-04-06,31.3,DCDS
2020-04-07,32.62,DCDS
2020-04-08,33.05,DCDS
2020-04-09,33.05,DCDS
2020-04-10,33.31,DCDS
2020-04-13,33.1,DCDS
2020-04-14,33.44,DCDS
2020-04-15,33.64,DCDS
2020-04-16,34.1,DCDS
2020-04-17,34.19,DCDS
2020-04-20,34.69,DCDS
2020-04-21,34.93,DCDS
2020-04-22,33.79,DCDS
2020-04-23,34.22,DCDS
2020-04-24,34.34,DCDS
